epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,2443.1,0.86249,0.51411,0.95379,0.78461,0.67608,0.76886,0.55409,1.11724,0.9294,1.1754,0.000513688,0.000513688,0.000513688
121,2459.75,0.86317,0.5221,0.95552,0.68617,0.74021,0.76469,0.56718,1.15589,0.96899,1.20337,0.0005075,0.0005075,0.0005075
122,2476.56,0.85527,0.52092,0.9538,0.70667,0.75837,0.76495,0.60429,1.1451,0.90411,1.21926,0.000501313,0.000501313,0.000501313
123,2493.87,0.85785,0.50174,0.94373,0.77482,0.74525,0.78303,0.59875,1.16302,0.88492,1.2299,0.000495125,0.000495125,0.000495125
124,2511.11,0.85655,0.5054,0.95383,0.75823,0.69744,0.75802,0.57111,1.15447,0.91729,1.22117,0.000488938,0.000488938,0.000488938
125,2525.53,0.8689,0.52236,0.95539,0.80113,0.68324,0.7646,0.56495,1.12753,0.8939,1.20061,0.00048275,0.00048275,0.00048275
126,2542.21,0.8382,0.49842,0.95855,0.76469,0.69299,0.77577,0.57644,1.11728,0.93431,1.18443,0.000476562,0.000476562,0.000476562
127,2559.47,0.85978,0.50491,0.9512,0.68512,0.73275,0.7686,0.57579,1.13011,0.89365,1.2161,0.000470375,0.000470375,0.000470375
128,2576.85,0.84683,0.49708,0.94946,0.74112,0.68588,0.76332,0.58973,1.10989,0.94605,1.18479,0.000464188,0.000464188,0.000464188
129,2593.47,0.83707,0.49567,0.94565,0.77651,0.69305,0.77801,0.58117,1.13917,0.91008,1.21733,0.000458,0.000458,0.000458
130,2610.68,0.83699,0.49616,0.94669,0.7514,0.70596,0.77663,0.5798,1.13634,0.93268,1.20747,0.000451813,0.000451813,0.000451813
131,2627.64,0.84281,0.49674,0.95055,0.76302,0.69225,0.7578,0.59039,1.13386,0.95065,1.2041,0.000445625,0.000445625,0.000445625
132,2644.36,0.8365,0.48516,0.95639,0.77548,0.70793,0.74438,0.55365,1.1527,0.98501,1.21082,0.000439437,0.000439437,0.000439437
133,2655.79,0.8343,0.49777,0.94402,0.73413,0.73267,0.76957,0.56412,1.14399,0.90304,1.22919,0.00043325,0.00043325,0.00043325
